kym_event_id,path,roi_id,rel_path,parent_folder,grandparent_folder,event_type,i_start,i_peak,i_end,t_start,t_peak,t_end,score_peak,baseline_before,baseline_after,strength,nan_fraction_in_event,n_valid_in_event,duration_sec,machine_type,user_type,note
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif|1|3,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif,1,14d Saline/20251020/20251020_A100_0011.tif,20251020,14d Saline,nan_gap,641,,787.0,2.897,,3.555,,,,0.295,0.44897959183673475,81.0,0.658,nan_gap,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif|1|4,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif,1,14d Saline/20251020/20251020_A100_0011.tif,20251020,14d Saline,nan_gap,822,,1024.0,3.712,,4.622,,,,0.372,0.40886699507389157,120.0,0.91,nan_gap,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif|1|5,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif,1,14d Saline/20251020/20251020_A100_0011.tif,20251020,14d Saline,nan_gap,1043,,1252.0,4.708,,5.649,,,,0.439,0.4666666666666667,112.0,0.941,nan_gap,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif|1|6,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif,1,14d Saline/20251020/20251020_A100_0011.tif,20251020,14d Saline,nan_gap,1379,,1467.0,6.221,,6.617,,,,0.169,0.4269662921348315,51.0,0.396,nan_gap,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif|1|7,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif,1,14d Saline/20251020/20251020_A100_0011.tif,20251020,14d Saline,nan_gap,1629,,1956.0,7.347,,8.82,,,,0.642,0.4359756097560976,185.0,1.473,nan_gap,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif|1|8,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif,1,14d Saline/20251020/20251020_A100_0011.tif,20251020,14d Saline,nan_gap,1998,,2055.0,9.009,,9.266,,,,0.137,0.5344827586206897,27.0,0.257,nan_gap,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif|1|9,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif,1,14d Saline/20251020/20251020_A100_0011.tif,20251020,14d Saline,nan_gap,2226,,2728.0,10.036,,12.297,,,,1.056,0.46719681908548705,268.0,2.261,nan_gap,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif|1|10,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif,1,14d Saline/20251020/20251020_A100_0011.tif,20251020,14d Saline,nan_gap,2814,,3067.0,12.684,,13.823,,,,0.637,0.5590551181102362,112.0,1.139,nan_gap,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif|1|11,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif,1,14d Saline/20251020/20251020_A100_0011.tif,20251020,14d Saline,baseline_rise,2991,3002.0,,13.481,13.531,,0.268,0.787,1.055,1.073,,,,other,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif|1|12,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif,1,14d Saline/20251020/20251020_A100_0011.tif,20251020,14d Saline,nan_gap,3114,,3254.0,14.035,,14.666,,,,0.215,0.34042553191489366,93.0,0.631,nan_gap,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif|1|13,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif,1,14d Saline/20251020/20251020_A100_0011.tif,20251020,14d Saline,baseline_rise,3172,3675.0,,14.296,16.562,,0.26,0.999,1.259,1.039,,,,other,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif|1|14,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif,1,14d Saline/20251020/20251020_A100_0011.tif,20251020,14d Saline,nan_gap,3407,,3453.0,15.355,,15.562,,,,0.084,0.4042553191489362,28.0,0.207,nan_gap,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif|1|15,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif,1,14d Saline/20251020/20251020_A100_0011.tif,20251020,14d Saline,nan_gap,3503,,3560.0,15.787,,16.044,,,,0.102,0.39655172413793105,35.0,0.257,nan_gap,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif|1|16,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif,1,14d Saline/20251020/20251020_A100_0011.tif,20251020,14d Saline,nan_gap,3676,,3775.0,16.566,,17.012,,,,0.201,0.44999999999999996,55.0,0.446,nan_gap,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif|1|17,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif,1,14d Saline/20251020/20251020_A100_0011.tif,20251020,14d Saline,baseline_drop,3731,3731.0,,16.814,16.814,,-0.316,1.259,0.943,1.264,,,,stall_candidate,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif|1|18,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif,1,14d Saline/20251020/20251020_A100_0011.tif,20251020,14d Saline,nan_gap,3895,,4191.0,17.553,,18.886,,,,0.557,0.4175084175084175,173.0,1.333,nan_gap,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif|1|19,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif,1,14d Saline/20251020/20251020_A100_0011.tif,20251020,14d Saline,nan_gap,4253,,4298.0,19.165,,19.368,,,,0.088,0.4347826086956522,26.0,0.203,nan_gap,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif|1|20,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif,1,14d Saline/20251020/20251020_A100_0011.tif,20251020,14d Saline,nan_gap,4313,,4364.0,19.435,,19.665,,,,0.088,0.3846153846153846,32.0,0.23,nan_gap,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif|1|21,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif,1,14d Saline/20251020/20251020_A100_0011.tif,20251020,14d Saline,nan_gap,4410,,4602.0,19.872,,20.737,,,,0.363,0.4196891191709845,112.0,0.865,nan_gap,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif|1|22,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif,1,14d Saline/20251020/20251020_A100_0011.tif,20251020,14d Saline,nan_gap,4646,,4745.0,20.935,,21.381,,,,0.192,0.43000000000000005,57.0,0.446,nan_gap,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif|1|23,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif,1,14d Saline/20251020/20251020_A100_0011.tif,20251020,14d Saline,nan_gap,4808,,4871.0,21.665,,21.948,,,,0.129,0.453125,35.0,0.284,nan_gap,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif|1|24,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif,1,14d Saline/20251020/20251020_A100_0011.tif,20251020,14d Saline,nan_gap,4923,,4997.0,22.183,,22.516,,,,0.178,0.5333333333333333,35.0,0.333,nan_gap,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif|1|25,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif,1,14d Saline/20251020/20251020_A100_0011.tif,20251020,14d Saline,nan_gap,5073,,5361.0,22.858,,24.155,,,,0.592,0.45674740484429066,157.0,1.297,nan_gap,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif|1|26,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif,1,14d Saline/20251020/20251020_A100_0011.tif,20251020,14d Saline,nan_gap,5398,,5553.0,24.322,,25.02,,,,0.452,0.6474358974358974,55.0,0.698,nan_gap,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif|1|27,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif,1,14d Saline/20251020/20251020_A100_0011.tif,20251020,14d Saline,baseline_drop,5499,5499.0,,24.777,24.777,,-0.277,1.241,0.965,1.107,,,,stall_candidate,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif|1|28,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif,1,14d Saline/20251020/20251020_A100_0011.tif,20251020,14d Saline,nan_gap,5576,,5890.0,25.124,,26.538,,,,0.602,0.42539682539682544,181.0,1.414,nan_gap,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif|1|29,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif,1,14d Saline/20251020/20251020_A100_0011.tif,20251020,14d Saline,baseline_rise,5776,5806.0,,26.024,26.16,,0.266,1.048,1.314,1.062,,,,other,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif|1|30,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif,1,14d Saline/20251020/20251020_A100_0011.tif,20251020,14d Saline,baseline_drop,5782,5782.0,,26.051,26.051,,-0.253,1.314,1.061,1.01,,,,stall_candidate,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif|1|31,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif,1,14d Saline/20251020/20251020_A100_0011.tif,20251020,14d Saline,baseline_drop,5862,5862.0,,26.412,26.412,,-0.266,1.314,1.048,1.062,,,,stall_candidate,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif|1|32,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif,1,14d Saline/20251020/20251020_A100_0011.tif,20251020,14d Saline,nan_gap,5961,,6107.0,26.858,,27.515,,,,0.322,0.4897959183673469,75.0,0.658,nan_gap,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif|1|33,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif,1,14d Saline/20251020/20251020_A100_0011.tif,20251020,14d Saline,baseline_drop,6074,6074.0,,27.367,27.367,,-0.254,1.277,1.023,1.014,,,,stall_candidate,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif|1|34,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif,1,14d Saline/20251020/20251020_A100_0011.tif,20251020,14d Saline,nan_gap,6135,,6322.0,27.641,,28.484,,,,0.376,0.44680851063829785,104.0,0.842,nan_gap,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif|1|35,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif,1,14d Saline/20251020/20251020_A100_0011.tif,20251020,14d Saline,baseline_rise,6412,6567.0,,28.889,29.587,,0.344,0.999,1.343,1.376,,,,other,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif|1|36,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif,1,14d Saline/20251020/20251020_A100_0011.tif,20251020,14d Saline,nan_gap,6444,,6506.0,29.033,,29.312,,,,0.124,0.4444444444444444,35.0,0.279,nan_gap,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif|1|37,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif,1,14d Saline/20251020/20251020_A100_0011.tif,20251020,14d Saline,nan_gap,6533,,6617.0,29.434,,29.812,,,,0.16,0.42352941176470593,49.0,0.378,nan_gap,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif|1|38,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif,1,14d Saline/20251020/20251020_A100_0011.tif,20251020,14d Saline,nan_gap,6661,,6732.0,30.01,,30.33,,,,0.133,0.41666666666666663,42.0,0.32,nan_gap,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif|1|39,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif,1,14d Saline/20251020/20251020_A100_0011.tif,20251020,14d Saline,nan_gap,6872,,7018.0,30.961,,31.618,,,,0.277,0.4217687074829932,85.0,0.658,nan_gap,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif|1|40,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif,1,14d Saline/20251020/20251020_A100_0011.tif,20251020,14d Saline,nan_gap,7053,,7358.0,31.776,,33.15,,,,0.628,0.4575163398692811,166.0,1.374,nan_gap,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif|1|41,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif,1,14d Saline/20251020/20251020_A100_0011.tif,20251020,14d Saline,baseline_rise,7403,7426.0,,33.352,33.456,,0.283,0.993,1.277,1.134,,,,other,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif|1|42,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif,1,14d Saline/20251020/20251020_A100_0011.tif,20251020,14d Saline,nan_gap,7450,,7496.0,33.564,,33.771,,,,0.097,0.46808510638297873,25.0,0.207,nan_gap,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif|1|43,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251020/20251020_A100_0011.tif,1,14d Saline/20251020/20251020_A100_0011.tif,20251020,14d Saline,baseline_drop,7480,7480.0,,33.699,33.699,,-0.377,1.259,0.882,1.509,,,,stall_candidate,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0002.tif|1|0,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0002.tif,1,14d Saline/20251015/20251015_A99_0002.tif,20251015,14d Saline,baseline_rise,0,392.0,,0.01,1.776,,0.316,1.841,2.156,1.023,,,,other,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0002.tif|1|1,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0002.tif,1,14d Saline/20251015/20251015_A99_0002.tif,20251015,14d Saline,baseline_rise,0,580.0,,0.01,2.622,,0.39,1.766,2.156,1.265,,,,other,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0002.tif|1|2,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0002.tif,1,14d Saline/20251015/20251015_A99_0002.tif,20251015,14d Saline,baseline_rise,0,1992.0,,0.01,8.982,,0.367,2.156,2.523,1.19,,,,other,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0002.tif|1|3,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0002.tif,1,14d Saline/20251015/20251015_A99_0002.tif,20251015,14d Saline,baseline_rise,0,2333.0,,0.01,10.518,,0.369,1.841,2.21,1.198,,,,other,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0002.tif|1|4,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0002.tif,1,14d Saline/20251015/20251015_A99_0002.tif,20251015,14d Saline,baseline_rise,0,4206.0,,0.01,18.953,,0.33,1.88,2.21,1.07,,,,other,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0002.tif|1|5,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0002.tif,1,14d Saline/20251015/20251015_A99_0002.tif,20251015,14d Saline,baseline_rise,0,5937.0,,0.01,26.75,,0.316,1.841,2.156,1.023,,,,other,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0002.tif|1|6,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0002.tif,1,14d Saline/20251015/20251015_A99_0002.tif,20251015,14d Saline,baseline_drop,256,256.0,,1.163,1.163,,-0.358,2.238,1.88,1.161,,,,stall_candidate,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0002.tif|1|7,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0002.tif,1,14d Saline/20251015/20251015_A99_0002.tif,20251015,14d Saline,baseline_drop,2282,2282.0,,10.288,10.288,,-0.316,2.156,1.841,1.023,,,,stall_candidate,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0002.tif|1|8,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0002.tif,1,14d Saline/20251015/20251015_A99_0002.tif,20251015,14d Saline,baseline_drop,2434,2434.0,,10.973,10.973,,-0.388,2.21,1.822,1.259,,,,stall_candidate,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0002.tif|1|9,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0002.tif,1,14d Saline/20251015/20251015_A99_0002.tif,20251015,14d Saline,baseline_drop,4078,4078.0,,18.377,18.377,,-0.445,2.454,2.009,1.442,,,,stall_candidate,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0002.tif|1|10,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0002.tif,1,14d Saline/20251015/20251015_A99_0002.tif,20251015,14d Saline,baseline_drop,5429,5429.0,,24.462,24.462,,-0.313,2.523,2.21,1.015,,,,stall_candidate,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0002.tif|1|11,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0002.tif,1,14d Saline/20251015/20251015_A99_0002.tif,20251015,14d Saline,baseline_drop,5833,5833.0,,26.281,26.281,,-0.345,2.267,1.921,1.119,,,,stall_candidate,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0006.tif|1|0,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0006.tif,1,14d Saline/20251015/20251015_A99_0006.tif,20251015,14d Saline,baseline_drop,407,407.0,,1.863,1.863,,-0.138,1.203,1.065,0.552,,,,stall_candidate,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0006.tif|1|1,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0006.tif,1,14d Saline/20251015/20251015_A99_0006.tif,20251015,14d Saline,baseline_drop,2224,2224.0,,10.134,10.134,,-0.212,1.257,1.045,0.847,,,,stall_candidate,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0006.tif|1|2,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0006.tif,1,14d Saline/20251015/20251015_A99_0006.tif,20251015,14d Saline,baseline_drop,2846,2846.0,,12.965,12.965,,-0.171,1.178,1.007,0.683,,,,stall_candidate,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0006.tif|1|3,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0006.tif,1,14d Saline/20251015/20251015_A99_0006.tif,20251015,14d Saline,baseline_drop,4400,4400.0,,20.038,20.038,,-0.15,1.38,1.229,0.601,,,,stall_candidate,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0006.tif|1|4,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0006.tif,1,14d Saline/20251015/20251015_A99_0006.tif,20251015,14d Saline,baseline_drop,5318,5318.0,,24.217,24.217,,-0.24,1.178,0.938,0.959,,,,stall_candidate,unreviewed,
/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0006.tif|1|5,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0006.tif,1,14d Saline/20251015/20251015_A99_0006.tif,20251015,14d Saline,baseline_drop,5662,5662.0,,25.783,25.783,,-0.223,1.13,0.907,0.894,,,,stall_candidate,unreviewed,
